##BLOCKS= 61         																					
		0.0453	0.1583	0.552	1.4925	1.4383	1.5441	1.4607	1.3335	1.2549	1.7586	1.7888									
		0.0454	0.1329	0.425	0.9916	1.1106	1.3926	1.5808	1.6051	1.1853	1.5016	1.8872									
		0.0443	0.1512	0.4055	0.8601	1.0043	1.2477	1.6191	1.5374	1.8775	1.5733	1.4388									
																					
																					
~End																					
Plate:	BT-474 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0446	0.0746	0.0648	0.2829	0.3705	0.4364	0.5563	0.521	0.496	0.5616	0.6359									
		0.0458	0.0716	0.0679	0.2313	0.3957	0.4854	0.527	0.5547	0.6036	0.6206	0.6078									
		0.0446	0.0717	0.0673	0.2548	0.3939	0.5077	0.6249	0.65	0.5891	0.6576	0.6108									
		0.045	0.5073	0.6225	0.6815	0.714	0.6204	0.7396	0.7263	0.6767	0.6922	0.6157									
		0.0448	0.5198	0.7203	0.6152	0.6865	0.6911	0.7546	0.6783	0.6472	0.8063	0.5525									
		0.0436	0.5481	0.5723	0.597	0.6724	0.6296	0.6147	0.6124	0.6915	0.6033	0.6409									
																					
																					
~End																					
Plate:	HCC1428 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0441	0.0724	0.0832	0.3215	0.5761	0.6039	0.6106	0.6704	0.6619	0.6247	0.5784									
		0.0449	0.0681	0.0772	0.2927	0.5107	0.5674	0.5454	0.5435	0.6091	0.5368	0.5323									
		0.0455	0.0675	0.0793	0.299	0.5427	0.551	0.5461	0.5347	0.6193	0.5686	0.5089									
		0.0445	0.4097	0.4049	0.4949	0.6049	0.5212	0.6055	0.5201	0.5907	0.5291	0.5486									
		0.0434	0.3297	0.4351	0.4971	0.5293	0.5071	0.5138	0.4875	0.5538	0.5719	0.5621									
		0.0473	0.3359	0.3904	0.4052	0.4642	0.495	0.4833	0.4616	0.4758	0.5016	0.5175									
																					
																					
~End																					
Plate:	BT-20 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	26.4																				
		0.0451	0.0587	0.0615	0.1281	0.1725	0.2512	0.3315	0.3739	0.4216	0.4109	0.4439									
		0.0456	0.059	0.0593	0.1387	0.23	0.2502	0.3203	0.3858	0.373	0.4361	0.4635									
		0.0483	0.0579	0.0633	0.1266	0.1851	0.2913	0.3373	0.4441	0.4252	0.4293	0.4402									
		0.0442	0.2603	0.3649	0.4092	0.5443	0.481	0.4706	0.476	0.4591	0.459	0.4696									
		0.0451	0.2487	0.3536	0.3991	0.4444	0.4318	0.4773	0.468	0.4704	0.3887	0.4205									
		0.0467	0.281	0.3135	0.3728	0.3924	0.4312	0.4499	0.4265	0.4425	0.4392	0.4536									
																					
																					
~End																					
Plate:	HCC1395 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
